station_id,pln_area,latitude,longitude,elev_mean,elev_min,elev_std,rain_sum_15m,rain_sum_30m,rain_sum_90m,rain_max_5m,target
S78,MARINE PARADE,1.30703,103.89067,7.24,-14.35,3.96,0.0,0.0,0.0,0.0,0
S111,NEWTON,1.31055,103.8365,20.37,1.45,9.67,0.0,0.0,0.0,0.0,0
S112,LIM CHU KANG,1.43854,103.70131,11.9,0.0,8.19,0.0,0.0,0.0,0.0,0
S230,CLEMENTI,1.30167,103.76444,13.65,-3.95,8.7,0.0,0.0,0.0,0.0,0
S219,SERANGOON,1.37999,103.87643,17.63,-10.53,6.56,0.0,0.0,0.0,0.0,0
S216,ANG MO KIO,1.36019,103.85335,24.3,2.72,10.78,0.2,2.6,21.7,8.4,0
S217,BISHAN,1.35041,103.85526,19.03,-9.25,11.56,0.2,0.2,0.2,0.2,0
S214,KALLANG,1.29911,103.88289,6.74,-9.07,4.4,2.6,4.6,6.8,1.2,0
S215,GEYLANG,1.32785,103.88899,7.77,-25.52,4.71,5.7,6.7,6.7,3.9,0
S213,BUKIT TIMAH,1.32427,103.8097,27.48,2.41,11.24,0.6,1.6,2.0,0.6,0
S81,PUNGGOL,1.4029,103.9092,10.82,0.0,7.63,0.0,0.0,0.0,0.0,0
S40,CENTRAL WATER CATCHMENT,1.4044,103.78962,41.66,4.75,15.28,0.0,0.0,4.8,1.6,0
S84,TAMPINES,1.3437,103.9444,13.2,-11.71,5.93,0.0,0.0,0.0,0.0,0
S44,WESTERN WATER CATCHMENT,1.34583,103.68166,19.66,-0.44,13.56,15.2,18.0,18.0,7.0,0
S88,TOA PAYOH,1.3427,103.8482,14.01,-10.24,7.79,0.4,3.2,13.4,4.0,0
S221,HOUGANG,1.35691,103.89088,14.32,-9.41,7.21,1.5999999999999999,2.4,9.200000000000001,2.2,0
S222,BUKIT MERAH,1.28987,103.82364,18.86,-16.84,16.27,8.0,15.4,16.8,4.2,0
S08,CENTRAL WATER CATCHMENT,1.3701,103.8271,41.66,4.75,15.28,0.2,1.2,14.8,3.8,0
S07,CENTRAL WATER CATCHMENT,1.3415,103.8334,41.66,4.75,15.28,0.6000000000000001,3.0,15.2,3.6,0
S220,SENGKANG,1.38666,103.89797,14.9,-22.87,6.28,0.2,0.2,10.8,5.3,0
S208,CHANGI,1.3136,104.00317,8.72,-3.66,7.16,0.0,0.0,0.0,0.0,0
S203,QUEENSTOWN,1.29164,103.7702,17.54,-5.58,13.97,13.200000000000001,46.0,76.0,12.7,0
S201,CLEMENTI,1.32311,103.76714,13.65,-3.95,8.7,5.2,23.8,29.8,10.2,0
S90,TANGLIN,1.3191,103.8191,22.57,-8.1,10.51,0.4,1.6,6.4,2.0,0
S92,QUEENSTOWN,1.2841,103.7886,17.54,-5.58,13.97,16.6,28.6,52.4,9.0,0
S209,YISHUN,1.42111,103.84472,13.43,-17.85,10.35,0.0,0.4,4.4,1.2,0
S50,BUKIT TIMAH,1.3337,103.7768,27.48,2.41,11.24,3.0,20.400000000000002,29.8,7.4,0
S94,PASIR RIS,1.3662,103.9528,12.81,-26.27,8.36,0.0,0.0,0.0,0.0,0
S210,WOODLANDS,1.44003,103.76904,23.44,-6.88,9.05,0.0,1.2,2.0,0.6,0
S211,SUNGEI KADUT,1.42918,103.75711,17.33,-37.0,16.99,2.2,3.0,3.4,1.4,0
S119,DOWNTOWN CORE,1.30105,103.8666,8.6,-7.01,7.26,0.8,13.8,19.0,6.0,0
S117,WESTERN ISLANDS,1.256,103.679,4.12,-9.75,3.73,0.6,0.6,0.6,0.6,0
S113,BEDOK,1.30648,103.9104,12.86,-4.33,6.66,0.2,0.2,1.4,0.6,0
S60,SOUTHERN ISLANDS,1.25,103.8279,14.01,-0.59,15.33,5.2,5.6,26.0,7.6,0
S64,BUKIT PANJANG,1.3824,103.7603,48.75,5.07,28.76,0.0,0.0,4.8,3.0,0
S66,LIM CHU KANG,1.4387,103.7363,11.9,0.0,8.19,1.2,15.0,16.0,7.0,0
S24,CHANGI,1.3678,103.9826,8.72,-3.66,7.16,0.0,0.0,0.0,0.0,0
S69,CENTRAL WATER CATCHMENT,1.37,103.805,41.66,4.75,15.28,0.0,0.0,1.2000000000000002,0.4,0
S123,KALLANG,1.3214,103.8577,6.74,-9.07,4.4,0.2,4.6,11.0,2.8,0
S900,SELETAR,1.41284,103.86922,8.34,-5.39,4.69,0.8,5.0,24.8,6.8,0
S109,ANG MO KIO,1.3764,103.8492,24.3,2.72,10.78,0.4,0.6000000000000001,9.8,3.4,0
S106,NORTH-EASTERN ISLANDS,1.4168,103.9673,4.15,-9.37,9.38,0.0,0.0,0.0,0.0,0
S227,WOODLANDS,1.43944,103.80389,23.44,-6.88,9.05,0.0,0.2,0.6000000000000001,0.2,0
S226,BUKIT MERAH,1.27472,103.80389,18.86,-16.84,16.27,11.6,21.4,38.0,8.6,0
S102,WESTERN ISLANDS,1.189,103.768,4.12,-9.75,3.73,7.6,9.2,10.4,3.2,0
S223,QUEENSTOWN,1.29984,103.80264,17.54,-5.58,13.97,11.3,27.4,34.9,7.1,0
S224,CHANGI,1.34392,103.98409,8.72,-3.66,7.16,0.0,0.0,0.0,0.0,0
S71,QUEENSTOWN,1.2923,103.7815,17.54,-5.58,13.97,12.2,30.4,57.2,8.0,0
S33,JURONG EAST,1.3081,103.71,7.2,-6.99,5.76,7.199999999999999,7.199999999999999,7.199999999999999,5.6,0
S77,QUEENSTOWN,1.2937,103.8125,17.54,-5.58,13.97,11.0,21.8,27.6,5.2,0
S79,ORCHARD,1.3004,103.8372,21.66,2.24,8.23,0.8,11.4,11.8,6.0,0
S78,MARINE PARADE,1.30703,103.89067,7.24,-14.35,3.96,8.2,8.2,8.8,3.8,0
S111,NEWTON,1.31055,103.8365,20.37,1.45,9.67,0.2,5.6000000000000005,14.6,5.2,0
S112,LIM CHU KANG,1.43854,103.70131,11.9,0.0,8.19,1.6,2.4,2.6,1.0,0
S230,CLEMENTI,1.30167,103.76444,13.65,-3.95,8.7,6.6,43.0,68.4,13.2,0
S219,SERANGOON,1.37999,103.87643,17.63,-10.53,6.56,6.6,25.2,32.199999999999996,8.2,0
S216,ANG MO KIO,1.36019,103.85335,24.3,2.72,10.78,10.2,13.6,71.8,11.2,0
S217,BISHAN,1.35041,103.85526,19.03,-9.25,11.56,9.5,12.7,57.5,8.9,0
S214,KALLANG,1.29911,103.88289,6.74,-9.07,4.4,2.0,6.6,12.8,2.0,0
S215,GEYLANG,1.32785,103.88899,7.77,-25.52,4.71,3.8,13.0,46.2,7.3,0
S213,BUKIT TIMAH,1.32427,103.8097,27.48,2.41,11.24,0.2,1.2,2.8000000000000003,0.6,0
S81,PUNGGOL,1.4029,103.9092,10.82,0.0,7.63,3.6,6.8,16.2,3.6,0
S40,CENTRAL WATER CATCHMENT,1.4044,103.78962,41.66,4.75,15.28,4.0,17.2,41.8,6.2,0
S84,TAMPINES,1.3437,103.9444,13.2,-11.71,5.93,5.0,5.3999999999999995,5.6,2.8,0
S44,WESTERN WATER CATCHMENT,1.34583,103.68166,19.66,-0.44,13.56,0.0,0.0,1.2,0.6,0
S88,TOA PAYOH,1.3427,103.8482,14.01,-10.24,7.79,6.6,8.2,38.6,6.2,0
S221,HOUGANG,1.35691,103.89088,14.32,-9.41,7.21,16.8,43.0,44.8,14.3,0
S222,BUKIT MERAH,1.28987,103.82364,18.86,-16.84,16.27,0.8,3.2,18.2,5.8,0
S08,CENTRAL WATER CATCHMENT,1.3701,103.8271,41.66,4.75,15.28,6.8,11.2,56.4,9.4,0
S07,CENTRAL WATER CATCHMENT,1.3415,103.8334,41.66,4.75,15.28,1.2000000000000002,2.2,19.6,3.8,0
S220,SENGKANG,1.38666,103.89797,14.9,-22.87,6.28,7.8,27.6,47.8,9.9,0
S208,CHANGI,1.3136,104.00317,8.72,-3.66,7.16,11.6,11.6,11.6,6.5,0
S203,QUEENSTOWN,1.29164,103.7702,17.54,-5.58,13.97,0.0,0.0,2.2,0.8,0
S201,CLEMENTI,1.32311,103.76714,13.65,-3.95,8.7,0.6000000000000001,0.8,6.4,3.0,0
S90,TANGLIN,1.3191,103.8191,22.57,-8.1,10.51,1.0,2.0,5.2,0.8,0
S92,QUEENSTOWN,1.2841,103.7886,17.54,-5.58,13.97,0.4,1.8,7.0,2.0,0
S209,YISHUN,1.42111,103.84472,13.43,-17.85,10.35,9.6,27.2,43.8,7.9,0
S50,BUKIT TIMAH,1.3337,103.7768,27.48,2.41,11.24,0.8,2.0,6.0,2.2,0
S94,PASIR RIS,1.3662,103.9528,12.81,-26.27,8.36,17.200000000000003,36.800000000000004,36.800000000000004,7.2,0
S210,WOODLANDS,1.44003,103.76904,23.44,-6.88,9.05,4.4,14.6,77.0,14.7,0
S211,SUNGEI KADUT,1.42918,103.75711,17.33,-37.0,16.99,6.0,26.6,57.2,7.6,0
S119,DOWNTOWN CORE,1.30105,103.8666,8.6,-7.01,7.26,0.6000000000000001,2.2,2.6,1.0,0
S117,WESTERN ISLANDS,1.256,103.679,4.12,-9.75,3.73,0.0,0.0,0.4,0.2,0
S60,SOUTHERN ISLANDS,1.25,103.8279,14.01,-0.59,15.33,0.4,7.2,35.8,6.0,0
S64,BUKIT PANJANG,1.3824,103.7603,48.75,5.07,28.76,5.6,12.600000000000001,16.400000000000002,3.4,0
S66,LIM CHU KANG,1.4387,103.7363,11.9,0.0,8.19,10.0,27.0,53.0,9.2,0
S24,CHANGI,1.3678,103.9826,8.72,-3.66,7.16,1.6,2.6,2.6,0.6,0
S69,CENTRAL WATER CATCHMENT,1.37,103.805,41.66,4.75,15.28,6.8,16.8,41.2,6.4,0
S123,KALLANG,1.3214,103.8577,6.74,-9.07,4.4,6.4,8.8,47.0,7.4,0
S229,JURONG WEST,1.35167,103.72195,13.73,-5.57,7.2,8.8,11.4,17.0,3.2,0
S900,SELETAR,1.41284,103.86922,8.34,-5.39,4.69,7.6,24.2,43.2,8.8,0
S109,ANG MO KIO,1.3764,103.8492,24.3,2.72,10.78,8.2,12.0,45.4,9.4,0
S106,NORTH-EASTERN ISLANDS,1.4168,103.9673,4.15,-9.37,9.38,13.2,27.4,27.4,6.4,0
S227,WOODLANDS,1.43944,103.80389,23.44,-6.88,9.05,2.4,6.0,59.4,15.1,0
S228,JURONG WEST,1.34703,103.70073,13.73,-5.57,7.2,7.0,7.199999999999999,8.4,4.6,0
S226,BUKIT MERAH,1.27472,103.80389,18.86,-16.84,16.27,0.4,2.0,12.8,2.4,0
S102,WESTERN ISLANDS,1.189,103.768,4.12,-9.75,3.73,0.0,0.0,0.0,0.0,0
S223,QUEENSTOWN,1.29984,103.80264,17.54,-5.58,13.97,0.6000000000000001,1.6,8.2,2.0,0
S71,QUEENSTOWN,1.2923,103.7815,17.54,-5.58,13.97,0.2,0.4,4.0,1.0,0
S33,JURONG EAST,1.3081,103.71,7.2,-6.99,5.76,0.0,0.0,4.8,2.0,0
S77,QUEENSTOWN,1.2937,103.8125,17.54,-5.58,13.97,0.4,2.6,8.8,2.2,0
S79,ORCHARD,1.3004,103.8372,21.66,2.24,8.23,1.8,3.8,34.800000000000004,10.8,0
S78,MARINE PARADE,1.30703,103.89067,7.24,-14.35,3.96,3.4000000000000004,6.2,17.6,2.2,0
